a,class
0,a
1,b
2,a
3,b
4,a
5,b
6,a
7,b
8,a
9,b
10,a
11,b
12,a
13,b
14,a
15,b
16,a
17,b
18,a
19,b
20,a
21,b
22,a
23,b
24,a
25,b
26,a
27,b
28,a
29,b
30,a
31,b
32,a
33,b
34,a
35,b
36,a
37,b
38,a
39,b
40,a
41,b
42,a
43,b
44,a
45,b
46,a
47,b
48,a
49,b
50,a
51,b
52,a
53,b
54,a
55,b
56,a
57,b
58,a
59,b
60,a
61,b
62,a
63,b
64,a
65,b
66,a
67,b
68,a
69,b
70,a
71,b
72,a
73,b
74,a
75,b
76,a
77,b
78,a
79,b
80,a
81,b
82,a
83,b
84,a
85,b
86,a
87,b
88,a
89,b
90,a
91,b
92,a
93,b
94,a
95,b
96,a
97,b
98,a
99,b
100,a
101,b
102,a
103,b
104,a
105,b
106,a
107,b
108,a
109,b
110,a
111,b
112,a
113,b
114,a
115,b
116,a
117,b
118,a
119,b
120,a
121,b
122,a
123,b
124,a
125,b
126,a
127,b
128,a
129,b
130,a
131,b
132,a
133,b
134,a
135,b
136,a
137,b
138,a
139,b
140,a
141,b
142,a
143,b
144,a
145,b
146,a
147,b
148,a
149,b
150,a
151,b
152,a
153,b
154,a
155,b
156,a
157,b
158,a
159,b
160,a
161,b
162,a
163,b
164,a
165,b
166,a
167,b
168,a
169,b
170,a
171,b
172,a
173,b
174,a
175,b
176,a
177,b
178,a
179,b
180,a
181,b
182,a
183,b
184,a
185,b
186,a
187,b
188,a
189,b
190,a
191,b
192,a
193,b
194,a
195,b
196,a
197,b
198,a
199,b
200,a
201,b
202,a
203,b
204,a
205,b
206,a
207,b
208,a
209,b
210,a
211,b
212,a
213,b
214,a
215,b
216,a
217,b
218,a
219,b
220,a
221,b
222,a
223,b
224,a
225,b
226,a
227,b
228,a
229,b
230,a
231,b
232,a
233,b
234,a
235,b
236,a
237,b
238,a
239,b
240,a
241,b
242,a
243,b
244,a
245,b
246,a
247,b
248,a
249,b
250,a
251,b
252,a
253,b
254,a
255,b
256,a
